,clockTime,x,y,touching,block,keysDown,variables,stageVariables
0,0.005,173,58,[],event_whenflagclicked,[],{},"{'Punkte': 0, 'Zeit': 29}"
1,0.01,173,58,[],looks_hide,[],{},"{'Punkte': 0, 'Zeit': 29}"
2,0.011,173,58,[],looks_setsizeto{math_number(NUM:50)},[],{},"{'Punkte': 0, 'Zeit': 29}"
3,0.013,-91,62,[],motion_goto{motion_goto_menu(TO:_random_)},[],{},"{'Punkte': 0, 'Zeit': 29}"
4,0.015,-91,170,[],motion_sety{math_number(NUM:170)},[],{},"{'Punkte': 0, 'Zeit': 29}"
5,1.022,-91,170,[],looks_show,['Right'],{},"{'Punkte': 0, 'Zeit': '30'}"
6,1.022,-91,163,[],motion_changeyby{math_number(NUM:-7)},['Right'],{},"{'Punkte': 0, 'Zeit': '30'}"
7,1.023,-91,163,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},['Right'],{},"{'Punkte': 0, 'Zeit': '30'}"
8,1.025,-91,163,[],control_if{sensing_touchingcolor{COLOR}},['Right'],{},"{'Punkte': 0, 'Zeit': '30'}"
9,1.054,-91,163,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': '30'}"
10,1.055,-91,156,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
11,1.055,-91,156,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
12,1.057,-91,156,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
13,1.087,-91,156,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
14,1.087,-91,149,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': 29}"
15,1.088,-91,149,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
16,1.091,-91,149,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
17,1.121,-91,149,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
18,1.122,-91,142,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': 29}"
19,1.122,-91,142,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
20,1.124,-91,142,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
21,1.154,-91,142,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
22,1.155,-91,135,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': 29}"
23,1.156,-91,135,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
24,1.158,-91,135,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
25,1.187,-91,135,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
26,1.188,-91,128,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': 29}"
27,1.189,-91,128,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
28,1.192,-91,128,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
29,1.221,-91,128,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
30,1.221,-91,121,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': 29}"
31,1.223,-91,121,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
32,1.225,-91,121,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
33,1.254,-91,121,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
34,1.254,-91,114,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': 29}"
35,1.254,-91,114,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
36,1.256,-91,114,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
37,1.287,-91,114,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
38,1.287,-91,107,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': 29}"
39,1.288,-91,107,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
40,1.289,-91,107,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
41,1.32,-91,107,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
42,1.32,-91,100,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': 29}"
43,1.321,-91,100,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
44,1.324,-91,100,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
45,1.353,-91,100,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
46,1.354,-91,93,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': 29}"
47,1.357,-91,93,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
48,1.361,-91,93,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
49,1.396,-91,93,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
50,1.397,-91,86,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': 29}"
51,1.398,-91,86,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
52,1.399,-91,86,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
53,1.429,-91,86,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
54,1.429,-91,79,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': 29}"
55,1.429,-91,79,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
56,1.43,-91,79,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
57,1.463,-91,79,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
58,1.464,-91,72,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': 29}"
59,1.466,-91,72,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
60,1.467,-91,72,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
61,1.496,-91,72,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
62,1.496,-91,65,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': 29}"
63,1.497,-91,65,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
64,1.499,-91,65,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
65,1.528,-91,65,[],looks_show,[],{},"{'Punkte': 0, 'Zeit': 29}"
66,1.528,-91,58,[],motion_changeyby{math_number(NUM:-7)},[],{},"{'Punkte': 0, 'Zeit': 29}"
67,1.528,-91,58,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
