,timestamp,motion,x,y,touching,block,keysDown,variables,stageVariables
0,0.017,motion,0,-145,[],event_whenflagclicked,[],{},"{'var1': 29, 'var2': 26}"
1,0.018,motion,0,-145,[],motion_gotoxy{math_number(NUM:0)math_number(NUM:-145)},[],{},"{'var1': 29, 'var2': 26}"
2,0.046,motion,0,-145,[],control_wait_until{operator_equals{OPERAND1OPERAND2}},[],{},"{'var1': 29, 'var2': 26}"
3,0.046,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
4,0.046,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
5,0.076,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
6,0.076,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
7,0.108,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
8,0.108,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
9,0.14,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
10,0.14,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
11,0.176,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
12,0.176,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
13,0.206,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
14,0.206,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
15,0.239,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
16,0.239,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
17,0.274,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
18,0.274,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
19,0.306,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
20,0.307,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
21,0.338,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
22,0.339,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
23,0.372,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
24,0.372,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
25,0.404,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
26,0.404,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
27,0.44,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
28,0.44,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
29,0.471,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
30,0.471,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
31,0.506,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
32,0.506,motion,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'var1': 29, 'var2': 26}"
33,0.536,motion,10,-145,[],motion_movesteps{math_number(NUM:10)},['Right'],{},"{'var1': 29, 'var2': 26}"
