,clockTime,sprite,x,y,touching,block,keysDown,variables,stageVariables
0,0.005,Bananas,173,58,[],event_whenflagclicked,[],{},"{'Punkte': 0, 'Zeit': 29}"
1,0.01,Bananas,173,58,[],looks_hide,[],{},"{'Punkte': 0, 'Zeit': 29}"
2,0.011,Bananas,173,58,[],looks_setsizeto{math_number(NUM:50)},[],{},"{'Punkte': 0, 'Zeit': 29}"
3,0.013,Bananas,-91,62,[],motion_goto{motion_goto_menu(TO:_random_)},[],{},"{'Punkte': 0, 'Zeit': 29}"
4,0.015,Bananas,-91,170,[],motion_sety{math_number(NUM:170)},[],{},"{'Punkte': 0, 'Zeit': 29}"
5,0.015,Apple,-124,-60,[],event_whenflagclicked,[],{},"{'Punkte': 0, 'Zeit': 29}"
6,0.017,Apple,-124,-60,[],looks_setsizeto{math_number(NUM:50)},[],{},"{'Punkte': 0, 'Zeit': 29}"
7,0.017,Apple,72,-94,[],motion_goto{motion_goto_menu(TO:_random_)},[],{},"{'Punkte': 0, 'Zeit': 29}"
8,0.018,Apple,72,170,[],motion_sety{math_number(NUM:170)},[],{},"{'Punkte': 0, 'Zeit': 29}"
9,0.021,Apple,72,165,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': 29}"
10,0.022,Apple,72,165,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': 29}"
11,0.036,Apple,72,165,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': 29}"
12,0.037,Bowl,0,-145,[],event_whenflagclicked,[],{},"{'Punkte': 0, 'Zeit': 29}"
13,0.038,Bowl,0,-145,[],motion_gotoxy{math_number(NUM:0)math_number(NUM:-145)},[],{},"{'Punkte': 0, 'Zeit': 29}"
14,0.039,Stage,0,0,"['Bowl', 'Apple']",event_whenflagclicked,[],"{'Punkte': 0, 'Zeit': 29}","{'Punkte': 0, 'Zeit': 29}"
15,0.04,Stage,0,0,"['Bowl', 'Apple']",data_setvariableto(VARIABLE:Zeit){text(TEXT:30)},[],"{'Punkte': 0, 'Zeit': '30'}","{'Punkte': 0, 'Zeit': '30'}"
16,0.041,Stage,0,0,"['Bowl', 'Apple']",data_setvariableto(VARIABLE:Punkte){text(TEXT:0)},[],"{'Punkte': 0, 'Zeit': '30'}","{'Punkte': 0, 'Zeit': '30'}"
17,0.053,Apple,72,160,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
18,0.054,Apple,72,160,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
19,0.06,Apple,72,160,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
20,0.06,Bowl,0,-145,[],control_wait_until{operator_equals{OPERAND1OPERAND2}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
21,0.061,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
22,0.062,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
23,0.087,Apple,72,155,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
24,0.088,Apple,72,155,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
25,0.091,Apple,72,155,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
26,0.091,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
27,0.091,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
28,0.119,Apple,72,150,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
29,0.121,Apple,72,150,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
30,0.122,Apple,72,150,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
31,0.123,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
32,0.123,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
33,0.153,Apple,72,145,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
34,0.154,Apple,72,145,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
35,0.155,Apple,72,145,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
36,0.155,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
37,0.156,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
38,0.189,Apple,72,140,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
39,0.191,Apple,72,140,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
40,0.196,Apple,72,140,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
41,0.197,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
42,0.198,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
43,0.225,Apple,72,135,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
44,0.227,Apple,72,135,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
45,0.229,Apple,72,135,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
46,0.229,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
47,0.23,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
48,0.258,Apple,72,130,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
49,0.258,Apple,72,130,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
50,0.26,Apple,72,130,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
51,0.26,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
52,0.26,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
53,0.29,Apple,72,125,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
54,0.291,Apple,72,125,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
55,0.292,Apple,72,125,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
56,0.293,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
57,0.293,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
58,0.325,Apple,72,120,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
59,0.326,Apple,72,120,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
60,0.327,Apple,72,120,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
61,0.327,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
62,0.327,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
63,0.358,Apple,72,115,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
64,0.359,Apple,72,115,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
65,0.36,Apple,72,115,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
66,0.36,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
67,0.36,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
68,0.391,Apple,72,110,[],motion_changeyby{math_number(NUM:-5)},[],{},"{'Punkte': 0, 'Zeit': '30'}"
69,0.393,Apple,72,110,[],control_if{sensing_touchingobject{TOUCHINGOBJECTMENU}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
70,0.393,Apple,72,110,[],control_if{sensing_touchingcolor{COLOR}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
71,0.394,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
72,0.395,Bowl,0,-145,[],control_if{sensing_keypressed{KEY_OPTION}},[],{},"{'Punkte': 0, 'Zeit': '30'}"
